time,Mkt-RF,RF
20180216,0.03,0.006
20180220,-0.62,0.006
20180221,-0.43,0.006
20180222,0.01,0.006
20180223,1.54,0.006
20180226,1.12,0.006
20180227,-1.25,0.006
20180228,-1.11,0.006
20180301,-1.19,0.005
20180302,0.7,0.005
20180305,1.06,0.005
20180306,0.36,0.005
20180307,0.05,0.005
20180308,0.37,0.005
20180309,1.7,0.005
20180312,-0.09,0.005
20180313,-0.67,0.005
20180314,-0.53,0.005
20180315,-0.18,0.005
20180316,0.25,0.005
20180319,-1.38,0.005
20180320,0.15,0.005
20180321,-0.06,0.005
20180322,-2.54,0.005
20180323,-2.09,0.005
20180326,2.67,0.005
20180327,-1.87,0.005
20180328,-0.35,0.005
20180329,1.41,0.005
20180402,-2.29,0.007
20180403,1.24,0.007
20180404,1.17,0.007
20180405,0.75,0.007
20180406,-2.19,0.007
20180409,0.3,0.007
20180410,1.77,0.007
20180411,-0.49,0.007
20180412,0.84,0.007
20180413,-0.37,0.007
20180416,0.82,0.007
20180417,1.09,0.007
20180418,0.13,0.007
20180419,-0.49,0.007
20180420,-0.81,0.007
20180423,-0.05,0.007
20180424,-1.3,0.007
20180425,0.1,0.007
20180426,0.96,0.007
20180427,0.01,0.007
20180430,-0.8,0.007
20180501,0.24,0.006
20180502,-0.63,0.006
20180503,-0.25,0.006
20180504,1.3,0.006
20180507,0.42,0.006
20180508,0.07,0.006
20180509,0.89,0.006
20180510,0.85,0.006
20180511,0.19,0.006
20180514,0.05,0.006
20180515,-0.55,0.006
20180516,0.5,0.006
20180517,0.02,0.006
20180518,-0.23,0.006
20180521,0.72,0.006
20180522,-0.42,0.006
20180523,0.29,0.006
20180524,-0.16,0.006
20180525,-0.21,0.006
20180529,-1.04,0.006
20180530,1.31,0.006
20180531,-0.7,0.006
20180601,1.06,0.006
20180604,0.48,0.006
20180605,0.16,0.006
20180606,0.86,0.006
20180607,-0.14,0.006
20180608,0.31,0.006
20180611,0.12,0.006
